pdf_name	pdf_class	mh	peak_mass	peak_value	delta_peak_minus_mh	best_mean_name	best_mean_value	delta_best_mean_minus_mh	mean_names	mean_values
hggpdfsmrel_ggh_in_2022postEE_cat0_13TeV_rv	RooAddPdf	125.379997	125.969409	0.304571939989	0.589412	mean_g1_ggh_in_2022postEE_cat0_13TeV_rv	126.151454	0.771457	mean_g0_ggh_in_2022postEE_cat0_13TeV_rv;mean_g1_ggh_in_2022postEE_cat0_13TeV_rv;mean_g2_ggh_in_2022postEE_cat0_13TeV_rv;mean_g3_ggh_in_2022postEE_cat0_13TeV_rv;mean_g4_ggh_in_2022postEE_cat0_13TeV_rv	125.575036;126.151454;124.028006;123.747189;124.914353
hggpdfsmrel_ggh_in_2022postEE_cat0_13TeV_wv	RooAddPdf	125.379997	125.880320	0.21508358099	0.500323	mean_g0_ggh_in_2022postEE_cat0_13TeV_wv	125.879310	0.499313	mean_g0_ggh_in_2022postEE_cat0_13TeV_wv;mean_g1_ggh_in_2022postEE_cat0_13TeV_wv;mean_g2_ggh_in_2022postEE_cat0_13TeV_wv;mean_g3_ggh_in_2022postEE_cat0_13TeV_wv	125.879310;126.054575;126.093643;124.956299
hggpdfsmrel_ggh_in_2022postEE_cat1_13TeV_rv	RooAddPdf	125.379997	125.751769	0.24482562997	0.371772	mean_g1_ggh_in_2022postEE_cat1_13TeV_rv	125.858559	0.478561	mean_g0_ggh_in_2022postEE_cat1_13TeV_rv;mean_g1_ggh_in_2022postEE_cat1_13TeV_rv;mean_g2_ggh_in_2022postEE_cat1_13TeV_rv;mean_g3_ggh_in_2022postEE_cat1_13TeV_rv;mean_g4_ggh_in_2022postEE_cat1_13TeV_rv	125.505890;125.858559;123.758602;126.780311;126.704162
hggpdfsmrel_ggh_in_2022postEE_cat1_13TeV_wv	RooAddPdf	125.379997	125.755773	0.16470599348	0.375776	mean_g0_ggh_in_2022postEE_cat1_13TeV_wv	125.733540	0.353543	mean_g0_ggh_in_2022postEE_cat1_13TeV_wv;mean_g1_ggh_in_2022postEE_cat1_13TeV_wv;mean_g2_ggh_in_2022postEE_cat1_13TeV_wv;mean_g3_ggh_in_2022postEE_cat1_13TeV_wv	125.733540;125.903418;125.292810;123.860673
hggpdfsmrel_ggh_in_2022postEE_cat2_13TeV_rv	RooAddPdf	125.379997	125.430181	0.166875644368	0.050183	mean_g3_ggh_in_2022postEE_cat2_13TeV_rv	125.443431	0.063433	mean_g0_ggh_in_2022postEE_cat2_13TeV_rv;mean_g1_ggh_in_2022postEE_cat2_13TeV_rv;mean_g2_ggh_in_2022postEE_cat2_13TeV_rv;mean_g3_ggh_in_2022postEE_cat2_13TeV_rv	123.684000;125.646638;125.139084;125.443431
hggpdfsmrel_ggh_in_2022postEE_cat2_13TeV_wv	RooAddPdf	125.379997	125.403154	0.120445621089	0.023156	mean_g0_ggh_in_2022postEE_cat2_13TeV_wv	125.630258	0.250261	mean_g0_ggh_in_2022postEE_cat2_13TeV_wv;mean_g1_ggh_in_2022postEE_cat2_13TeV_wv	125.630258;124.384605
hggpdfsmrel_ggh_in_2022preEE_cat0_13TeV_rv	RooAddPdf	125.379997	125.682277	0.326019107214	0.302280	mean_g0_ggh_in_2022preEE_cat0_13TeV_rv	125.883698	0.503701	mean_g0_ggh_in_2022preEE_cat0_13TeV_rv;mean_g1_ggh_in_2022preEE_cat0_13TeV_rv;mean_g2_ggh_in_2022preEE_cat0_13TeV_rv;mean_g3_ggh_in_2022preEE_cat0_13TeV_rv	125.883698;125.078093;124.797999;124.964094
hggpdfsmrel_ggh_in_2022preEE_cat0_13TeV_wv	RooAddPdf	125.379997	125.631226	0.224300525705	0.251229	mean_g0_ggh_in_2022preEE_cat0_13TeV_wv	125.686341	0.306344	mean_g0_ggh_in_2022preEE_cat0_13TeV_wv;mean_g1_ggh_in_2022preEE_cat0_13TeV_wv	125.686341;125.357050
hggpdfsmrel_ggh_in_2022preEE_cat1_13TeV_rv	RooAddPdf	125.379997	125.530703	0.228865266547	0.150706	mean_g1_ggh_in_2022preEE_cat1_13TeV_rv	125.859250	0.479253	mean_g0_ggh_in_2022preEE_cat1_13TeV_rv;mean_g1_ggh_in_2022preEE_cat1_13TeV_rv;mean_g2_ggh_in_2022preEE_cat1_13TeV_rv	123.694805;125.859250;124.863709
hggpdfsmrel_ggh_in_2022preEE_cat1_13TeV_wv	RooAddPdf	125.379997	125.263592	0.1491810867	-0.116406	mean_g0_ggh_in_2022preEE_cat1_13TeV_wv	125.459242	0.079245	mean_g0_ggh_in_2022preEE_cat1_13TeV_wv;mean_g1_ggh_in_2022preEE_cat1_13TeV_wv	125.459242;124.896627
hggpdfsmrel_ggh_in_2022preEE_cat2_13TeV_rv	RooAddPdf	125.379997	125.235564	0.161341497206	-0.144434	mean_g0_ggh_in_2022preEE_cat2_13TeV_rv	125.418565	0.038567	mean_g0_ggh_in_2022preEE_cat2_13TeV_rv;mean_g1_ggh_in_2022preEE_cat2_13TeV_rv;mean_g2_ggh_in_2022preEE_cat2_13TeV_rv	125.418565;124.068758;121.541059
hggpdfsmrel_ggh_in_2022preEE_cat2_13TeV_wv	RooAddPdf	125.379997	125.073980	0.122730013217	-0.306018	mean_g0_ggh_in_2022preEE_cat2_13TeV_wv	125.931290	0.551292	mean_g0_ggh_in_2022preEE_cat2_13TeV_wv;mean_g1_ggh_in_2022preEE_cat2_13TeV_wv;mean_g2_ggh_in_2022preEE_cat2_13TeV_wv	125.931290;123.320418;124.020434
hggpdfsmrel_ggh_in_2023postBPix_cat0_13TeV_rv	RooAddPdf	125.379997	123.625885	0.32321795468	-1.754112	mean_g2_ggh_in_2023postBPix_cat0_13TeV_rv	123.334530	-2.045467	mean_g0_ggh_in_2023postBPix_cat0_13TeV_rv;mean_g1_ggh_in_2023postBPix_cat0_13TeV_rv;mean_g2_ggh_in_2023postBPix_cat0_13TeV_rv;mean_g3_ggh_in_2023postBPix_cat0_13TeV_rv	123.303589;124.342548;123.334530;120.956907
hggpdfsmrel_ggh_in_2023postBPix_cat0_13TeV_wv	RooAddPdf	125.379997	123.478316	0.22141417723	-1.901682	mean_g0_ggh_in_2023postBPix_cat0_13TeV_wv	123.450772	-1.929225	mean_g0_ggh_in_2023postBPix_cat0_13TeV_wv;mean_g1_ggh_in_2023postBPix_cat0_13TeV_wv	123.450772;123.613436
hggpdfsmrel_ggh_in_2023postBPix_cat1_13TeV_rv	RooAddPdf	125.379997	123.599859	0.260359400884	-1.780138	mean_g0_ggh_in_2023postBPix_cat1_13TeV_rv	123.668359	-1.711638	mean_g0_ggh_in_2023postBPix_cat1_13TeV_rv;mean_g1_ggh_in_2023postBPix_cat1_13TeV_rv;mean_g2_ggh_in_2023postBPix_cat1_13TeV_rv;mean_g3_ggh_in_2023postBPix_cat1_13TeV_rv;mean_g4_ggh_in_2023postBPix_cat1_13TeV_rv	123.668359;122.773014;123.262359;123.719081;120.833973
