#x_unit: GeV, y_unit: pb/GeV
#bin_lo,bin_hi,value,error
0,5,0.00047038122,1.4752627e-06
5,10,0.0004988566100000001,1.3748469e-06
10,15,0.0003270326,1.0192622e-06
15,20,0.00022352585,8.0362232e-07
20,25,0.00015931186,6.5828681e-07
25,30,0.00011608274,5.4969217e-07
30,35,8.597546699999999e-05,4.6557419e-07
35,45,5.7357449e-05,2.6410301e-07
45,60,3.1080243e-05,1.5548089e-07
60,80,1.4904761e-05,9.1593903e-08
80,100,7.1258727e-06,6.2588907e-08
100,120,3.6214702e-06,4.441739e-08
120,140,2.0585144e-06,3.3361939e-08
140,170,1.1879737e-06,2.0624642e-08
170,200,6.2624831e-07,1.5005687e-08
200,250,2.8527256e-07,7.798407700000001e-09
250,350,9.470882500000001e-08,3.1775786e-09
350,450,2.60741e-08,1.7026758e-09
450,14000,1.0952297e-10,9.314463399999999e-12
