#x_unit: GeV, y_unit: pb/GeV
#bin_lo,bin_hi,value,error
0,5,0.00022971808,6.2824812e-07
5,10,0.00024166856,5.8247393e-07
10,15,0.00016099862,4.3470236e-07
15,20,0.00010972047,3.4207789e-07
20,25,7.8079627e-05,2.7933799e-07
25,30,5.65151e-05,2.3250323e-07
30,35,4.1541368e-05,1.9616999e-07
35,45,2.7329736e-05,1.1011937e-07
45,60,1.4257371e-05,6.382143e-08
60,80,6.396939e-06,3.6376729e-08
80,100,2.9033575e-06,2.4169538e-08
100,120,1.4032441e-06,1.6802014e-08
120,140,7.7170551e-07,1.2318274e-08
140,170,3.9534813e-07,7.2216377e-09
170,200,1.9752358e-07,5.0696239e-09
200,250,8.6867625e-08,2.6048037e-09
250,350,2.3257868e-08,9.5560226e-10
350,450,5.0400172e-09,4.6668184e-10
450,14000,1.7746948e-11,2.3198465e-12
