#x_unit: GeV, y_unit: pb/GeV
#bin_lo,bin_hi,value,error
0,5,0.0005421557999999999,2.3375116e-06
5,10,0.00057937978,2.2079514e-06
10,15,0.00037731287,1.64719e-06
15,20,0.00025805866,1.3011199e-06
20,25,0.00018287308,1.0613707e-06
25,30,0.00013435322,8.9281965e-07
30,35,9.946951900000001e-05,7.5621079e-07
35,45,6.724314199999999e-05,4.2995224e-07
45,60,3.7123586e-05,2.552956e-07
60,80,1.8051273e-05,1.5190729e-07
80,100,8.736237100000001e-06,1.0470126e-07
100,120,4.4392248e-06,7.402637e-08
120,140,2.6609538e-06,5.7062447e-08
140,170,1.5337464e-06,3.5233173e-08
170,200,7.9563836e-07,2.5457584e-08
200,250,4.3212779e-07,1.4492936e-08
250,350,1.3798808e-07,5.7370264e-09
350,450,4.1024348e-08,3.1957239e-09
450,14000,1.5998678e-10,1.6766015e-11
